플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,김만섭999,1237.8,1473,1821,537,31.6,6,2.6139240506329116,82.6
치지직,김뫼풔,1237.8,1473,1579,779,13.6,6,3.3823529411764706,46
치지직,류드라 드라고,1238.6,1055,891,1678,1.4,9,6.642857142857143,9.3
SOOP,햄균,1239.6,1292,1716,737,16.7,7,2.9880239520958085,49.9
치지직,MM43,1240.6,1473,1814,551,30.6,6,2.630718954248366,80.5
치지직,율무가루,1242,1166,1119,1403,2.8,8,5.214285714285714,14.6
씨미,감전율,1242.2,1055,1288,1290,4,9,4.375,17.5
치지직,안뇽5454,1242.4,1292,1449,1011,7.2,7,3.8055555555555554,27.4
치지직,yeoning,1243.2,768,1079,1645,1.8,12,5.444444444444445,9.8
치지직,쑤쨔마,1243.4,1055,1005,1576,1.9,9,5.894736842105263,11.2
치지직,포이Poye,1243.6,1166,932,1594,1.7,8,6.352941176470588,10.8
치지직,한조무래기,1244.8,1292,1452,1014,7.2,7,3.7916666666666665,27.3
치지직,애쿤,1246,1292,1257,1212,4.4,7,4.5,19.8
치지직,엘브스,1246.4,1292,1607,863,11.6,7,3.2844827586206895,38.1
치지직,플로탸,1247,1473,1731,650,20.6,6,2.9029126213592233,59.8
치지직,라코타,1247,1055,662,1928,0.7,9,8.714285714285714,6.1
치지직,인티지,1247.6,1292,1543,930,9.3,7,3.5268817204301075,32.8
치지직,포로리얀,1248.4,1292,1934,541,35.1,7,2.3333333333333335,81.9
치지직,로젤링,1249.6,1166,871,1670,1.4,8,6.714285714285714,9.4
치지직,해령임둥,1250.4,940,1509,1147,6.1,10,3.6065573770491803,22
SOOP,수원지_,1250.8,1292,969,1512,2,7,6.15,12.3
SOOP,이센1,1251.8,1667,1447,849,10.4,5,3.8076923076923075,39.6
치지직,푸시케,1252,1292,1217,1267,3.9,7,4.6923076923076925,18.3
치지직,나오스0,1252.4,1292,1662,823,13.3,7,3.1203007518796992,41.5
치지직,레오니 Leoni,1254,1166,1302,1250,4.3,8,4.348837209302325,18.7
치지직,모부이,1255.2,1292,1205,1287,3.7,7,4.756756756756757,17.6
치지직,시구레 켄지,1256.8,1292,1333,1163,5,7,4.22,21.1
치지직,깻잎냠냠,1257,1055,945,1670,1.5,9,6.266666666666667,9.4
치지직,메론일락,1257,1055,945,1670,1.5,9,6.266666666666667,9.4
치지직,수구루,1258.2,1055,1727,891,12.3,9,2.926829268292683,36
SOOP,배배랑,1259,1473,1457,954,8.1,6,3.7777777777777777,30.6
SOOP,악천이321,1259,1667,1407,907,8.7,5,3.9655172413793105,34.5
치지직,이고 Ego,1259.2,1166,855,1710,1.3,8,6.846153846153846,8.9
SOOP,광무리,1260.2,1667,1484,833,11,5,3.690909090909091,40.6
치지직,후코 뿜뿜,1260.8,1292,1419,1087,6.2,7,3.9193548387096775,24.3
치지직,뉴국재,1261.6,1292,1909,599,28.5,7,2.414035087719298,68.8
SOOP,칼리오스임다,1262,1166,1037,1535,2.1,8,5.714285714285714,12
SOOP,뚠개냥,1263.2,1166,830,1745,1.2,8,7,8.4
SOOP,솔직한돼지,1264,1890,1851,364,54,4,2.52037037037037,136.1
SOOP,희건,1265.6,1292,1057,1461,2.4,7,5.583333333333333,13.4
치지직,솔다미,1267,843,755,1991,0.7,11,7.857142857142857,5.5
치지직,이덕산,1267.6,1166,1232,1354,3.4,8,4.617647058823529,15.7
치지직,셀레스틴celestyn,1267.6,1166,1172,1414,2.9,8,4.931034482758621,14.3
치지직,재혁22,1267.6,1292,1475,1048,7,7,3.7142857142857144,26
치지직,l 김슈슈 l,1268,1292,1149,1375,3,7,5.033333333333333,15.1
치지직,허수아비탱커,1268.4,1166,1197,1391,3.1,8,4.774193548387097,14.8
SOOP,서부기,1269.8,1473,1137,1301,3.4,6,5.088235294117647,17.3
치지직,정령키드,1271,1473,1573,868,11.1,6,3.4054054054054053,37.8
씨미,레코이,1271.8,1055,1035,1617,1.8,9,5.722222222222222,10.3
치지직,백 원,1272,1166,1363,1234,4.6,8,4.130434782608695,19
치지직,프 렐,1272.6,1473,1116,1329,3.1,6,5.225806451612903,16.2
치지직,루시한,1274.4,1292,1351,1189,4.9,7,4.163265306122449,20.4
치지직,범고래뱃살,1275,843,1650,1116,7.4,11,3.1486486486486487,23.3
치지직,익명이애호가,1276.8,940,923,1799,1.2,10,6.416666666666667,7.7
치지직,산 세,1277.2,1166,1098,1512,2.3,8,5.3478260869565215,12.3
치지직,Chzzk또랑이,1277.2,1166,1153,1457,2.7,8,5,13.5
SOOP,☆채니☆,1278.4,940,644,2082,0.5,10,9,4.5
치지직,전유라,1280,940,861,1869,1,10,6.8,6.8
치지직,XDnoo6,1280.8,1166,1463,1156,5.7,8,3.754385964912281,21.4
치지직,임평,1282.2,1473,1431,1038,6.8,6,3.8529411764705883,26.2
치지직,D0You,1283.2,768,926,1898,1,12,6.4,6.4
SOOP,벨로스레아,1283.2,1292,1113,1449,2.6,7,5.269230769230769,13.7
치지직,아스라히,1285.2,1166,1530,1100,6.7,8,3.5671641791044775,23.9
치지직,현아빈,1287.8,1055,1384,1308,4.2,9,4.0476190476190474,17
치지직,l베스타,1288,1292,1455,1119,6.1,7,3.7868852459016393,23.1
치지직,다람지99,1288,1292,1148,1426,2.8,7,5.035714285714286,14.1
치지직,김연랑,1288,940,1532,1218,5.5,10,3.5636363636363635,19.6
치지직,은잉이,1290,1292,1193,1386,3.1,7,4.806451612903226,14.9
치지직,먀림,1290,1292,1193,1386,3.1,7,4.806451612903226,14.9
치지직,호나브로,1290.4,1292,1838,742,19.3,7,2.5544041450777204,49.3
치지직,jojii,1291,1473,1813,678,21.3,6,2.6338028169014085,56.1
치지직,지민팁이,1293.2,1166,1847,803,17.5,8,2.537142857142857,44.4
SOOP,세로-,1296.4,1292,1015,1580,1.9,7,5.842105263157895,11.1
치지직,현아햄,1297.2,1292,1363,1234,4.6,7,4.130434782608695,19
치지직,주 넌,1297.8,1055,1643,1074,7.8,9,3.1794871794871793,24.8
치지직,장 봉 남,1299,1055,822,1898,0.9,9,7.111111111111111,6.4
SOOP,프로펫,1301.6,1292,1235,1373,3.3,7,4.606060606060606,15.2
치지직,스푸치,1301.6,1292,1560,1048,7.5,7,3.466666666666667,26
SOOP,이선만.,1303.2,940,620,2168,0.4,10,9.25,3.7
치지직,현아 hyeona,1303.4,1473,1680,842,13.1,6,3.0381679389312977,39.8
치지직,김페포,1304,1292,1200,1414,3,7,4.766666666666667,14.3
치지직,세웅99,1305,1473,1929,597,29.4,6,2.3537414965986394,69.2
치지직,박재림,1305.6,1166,1545,1136,6.4,8,3.5,22.4
SOOP,MSG최연식,1306.6,1667,1303,1130,5.2,5,4.346153846153846,22.6
치지직,밤밤94,1306.8,1292,1517,1104,6.6,7,3.590909090909091,23.7
치지직,게임하는 백상아리,1307,1055,1690,1050,8.6,9,3.011627906976744,25.9
치지직,오하순,1309.6,1166,1126,1565,2.2,8,5.181818181818182,11.4
치지직,세상 1234,1310,1166,1874,818,16.9,8,2.485207100591716,42
치지직,아키라 카와 akira kawa,1311.2,940,830,1978,0.8,10,7,5.6
